2026-07-29 01:06:09 | DEBUG    | whisper_tools.logging_config:80 | Logging initialised → /Users/hazem/ws/whisper-tools/logs/whisper_tools_20260728_230609.log (file) | console threshold: WARNING
2026-07-29 01:06:09 | INFO     | whisper_tools.main:859 | whisper-tools session started — log: /Users/hazem/ws/whisper-tools/logs/whisper_tools_20260728_230609.log
2026-07-29 01:06:21 | DEBUG    | httpcore.connection:47 | connect_tcp.started host='huggingface.co' port=443 local_address=None timeout=None socket_options=None
2026-07-29 01:06:21 | DEBUG    | httpcore.connection:47 | connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x11dcc8980>
2026-07-29 01:06:21 | DEBUG    | httpcore.connection:47 | start_tls.started ssl_context=<ssl.SSLContext object at 0x11ddb05f0> server_hostname='huggingface.co' timeout=None
2026-07-29 01:06:21 | DEBUG    | httpcore.connection:47 | start_tls.complete return_value=<httpcore._backends.sync.SyncStream object at 0x11dce42d0>
2026-07-29 01:06:21 | DEBUG    | httpcore.http11:47 | send_request_headers.started request=<Request [b'GET']>
2026-07-29 01:06:21 | DEBUG    | httpcore.http11:47 | send_request_headers.complete
2026-07-29 01:06:21 | DEBUG    | httpcore.http11:47 | send_request_body.started request=<Request [b'GET']>
2026-07-29 01:06:21 | DEBUG    | httpcore.http11:47 | send_request_body.complete
2026-07-29 01:06:21 | DEBUG    | httpcore.http11:47 | receive_response_headers.started request=<Request [b'GET']>
2026-07-29 01:06:21 | DEBUG    | httpcore.http11:47 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Content-Type', b'application/json; charset=utf-8'), (b'Transfer-Encoding', b'chunked'), (b'Connection', b'keep-alive'), (b'Date', b'Tue, 28 Jul 2026 23:06:21 GMT'), (b'content-encoding', b'gzip'), (b'ETag', b'W/"11a4-VZyMKRJj3HlRCpAl/ezkTgyDgWM"'), (b'X-Powered-By', b'huggingface-moon'), (b'X-Request-Id', b'Root=1-6a6935ed-51e77d1f2e5f4ef9798e9b89;0ebe205e-2f8d-448d-8305-d919bdd0541d'), (b'RateLimit', b'"api";r=999;t=177'), (b'RateLimit-Policy', b'"fixed window";"api";q=1000;w=300'), (b'cross-origin-opener-policy', b'same-origin'), (b'Referrer-Policy', b'strict-origin-when-cross-origin'), (b'Access-Control-Max-Age', b'86400'), (b'Access-Control-Allow-Origin', b'https://huggingface.co'), (b'Vary', b'Origin'), (b'vary', b'Accept-Encoding'), (b'Access-Control-Expose-Headers', b'X-Repo-Commit,X-Request-Id,X-Error-Code,X-Error-Message,X-Total-Count,ETag,Link,Accept-Ranges,Content-Range,X-Linked-Size,X-Linked-ETag,X-Xet-Hash'), (b'X-Cache', b'Miss from cloudfront'), (b'Via', b'1.1 79006a1b1266ae3c597864512702ebf8.cloudfront.net (CloudFront)'), (b'X-Amz-Cf-Pop', b'FRA50-P2'), (b'Alt-Svc', b'h3=":443"; ma=86400'), (b'X-Amz-Cf-Id', b'4MhJP9QI8Uia0K2svYsnyxeJ3LGB4qAsLCVuWzAmJcoee495HylBOw==')])
2026-07-29 01:06:21 | DEBUG    | httpcore.http11:47 | receive_response_body.started request=<Request [b'GET']>
2026-07-29 01:06:21 | DEBUG    | httpcore.http11:47 | receive_response_body.complete
2026-07-29 01:06:21 | DEBUG    | httpcore.http11:47 | response_closed.started
2026-07-29 01:06:21 | DEBUG    | httpcore.http11:47 | response_closed.complete
2026-07-29 01:06:24 | DEBUG    | httpcore.http11:47 | send_request_headers.started request=<Request [b'HEAD']>
2026-07-29 01:06:24 | DEBUG    | httpcore.http11:47 | send_request_headers.complete
2026-07-29 01:06:24 | DEBUG    | httpcore.http11:47 | send_request_body.started request=<Request [b'HEAD']>
2026-07-29 01:06:24 | DEBUG    | httpcore.http11:47 | send_request_body.complete
2026-07-29 01:06:24 | DEBUG    | httpcore.http11:47 | receive_response_headers.started request=<Request [b'HEAD']>
2026-07-29 01:06:24 | DEBUG    | httpcore.http11:47 | receive_response_headers.complete return_value=(b'HTTP/1.1', 307, b'Temporary Redirect', [(b'Content-Type', b'text/plain; charset=utf-8'), (b'Content-Length', b'276'), (b'Connection', b'keep-alive'), (b'Date', b'Tue, 28 Jul 2026 23:06:24 GMT'), (b'Location', b'/api/resolve-cache/models/Helsinki-NLP/opus-mt-ar-de/8e6cbcce68feaf4eed2b926eccd31bfca97fab05/tokenizer_config.json?%2FHelsinki-NLP%2Fopus-mt-ar-de%2Fresolve%2Fmain%2Ftokenizer_config.json=&etag=%221b369556af9c8f57cab3e7c0503efe409179c398%22'), (b'X-Powered-By', b'huggingface-moon'), (b'X-Request-Id', b'Root=1-6a6935f0-18df14c14aa174a851914864;bb2c3d1f-1143-48ca-8d1f-307200cf0d08'), (b'RateLimit', b'"resolvers";r=4999;t=174'), (b'RateLimit-Policy', b'"fixed window";"resolvers";q=5000;w=300'), (b'cross-origin-opener-policy', b'same-origin'), (b'Referrer-Policy', b'strict-origin-when-cross-origin'), (b'Access-Control-Max-Age', b'86400'), (b'Access-Control-Allow-Origin', b'https://huggingface.co'), (b'Vary', b'Origin, Accept'), (b'Access-Control-Expose-Headers', b'X-Repo-Commit,X-Request-Id,X-Error-Code,X-Error-Message,X-Total-Count,ETag,Link,Accept-Ranges,Content-Range,X-Linked-Size,X-Linked-ETag,X-Xet-Hash'), (b'X-Repo-Commit', b'8e6cbcce68feaf4eed2b926eccd31bfca97fab05'), (b'Accept-Ranges', b'bytes'), (b'X-Hub-Cache', b'MISS'), (b'Content-Disposition', b'inline; filename*=UTF-8\'\'tokenizer_config.json; filename="tokenizer_config.json";'), (b'Content-Security-Policy', b"default-src 'none'; sandbox"), (b'X-Linked-ETag', b'"1b369556af9c8f57cab3e7c0503efe409179c398"'), (b'X-Cache', b'Miss from cloudfront'), (b'Via', b'1.1 79006a1b1266ae3c597864512702ebf8.cloudfront.net (CloudFront)'), (b'X-Amz-Cf-Pop', b'FRA50-P2'), (b'Alt-Svc', b'h3=":443"; ma=86400'), (b'X-Amz-Cf-Id', b'iy0MqY1F5zFUzKEOrBiuwOvnWk6z5HwPpV8IURIeCQgP8gD6iX4nsw==')])
2026-07-29 01:06:24 | DEBUG    | httpcore.http11:47 | receive_response_body.started request=<Request [b'HEAD']>
2026-07-29 01:06:24 | DEBUG    | httpcore.http11:47 | receive_response_body.complete
2026-07-29 01:06:24 | DEBUG    | httpcore.http11:47 | response_closed.started
2026-07-29 01:06:24 | DEBUG    | httpcore.http11:47 | response_closed.complete
2026-07-29 01:06:24 | DEBUG    | httpcore.http11:47 | send_request_headers.started request=<Request [b'HEAD']>
2026-07-29 01:06:24 | DEBUG    | httpcore.http11:47 | send_request_headers.complete
2026-07-29 01:06:24 | DEBUG    | httpcore.http11:47 | send_request_body.started request=<Request [b'HEAD']>
2026-07-29 01:06:24 | DEBUG    | httpcore.http11:47 | send_request_body.complete
2026-07-29 01:06:24 | DEBUG    | httpcore.http11:47 | receive_response_headers.started request=<Request [b'HEAD']>
2026-07-29 01:06:24 | DEBUG    | httpcore.http11:47 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Content-Type', b'text/plain; charset=utf-8'), (b'Content-Length', b'44'), (b'Connection', b'keep-alive'), (b'Date', b'Tue, 28 Jul 2026 10:48:44 GMT'), (b'ETag', b'"1b369556af9c8f57cab3e7c0503efe409179c398"'), (b'X-Powered-By', b'huggingface-moon'), (b'X-Request-Id', b'Root=1-6a68890c-474d2e6a1798670f2eb1cf5b;a89110ed-8245-4653-a0a4-bcc8d0b599e4'), (b'RateLimit', b'"resolvers";r=4984;t=34'), (b'RateLimit-Policy', b'"fixed window";"resolvers";q=5000;w=300'), (b'cross-origin-opener-policy', b'same-origin'), (b'Referrer-Policy', b'strict-origin-when-cross-origin'), (b'Access-Control-Max-Age', b'86400'), (b'Access-Control-Allow-Origin', b'https://huggingface.co'), (b'Access-Control-Expose-Headers', b'X-Repo-Commit,X-Request-Id,X-Error-Code,X-Error-Message,X-Total-Count,ETag,Link,Accept-Ranges,Content-Range,X-Linked-Size,X-Linked-ETag,X-Xet-Hash'), (b'X-Repo-Commit', b'8e6cbcce68feaf4eed2b926eccd31bfca97fab05'), (b'Accept-Ranges', b'bytes'), (b'X-Hub-Cache', b'MISS'), (b'Content-Disposition', b'inline; filename*=UTF-8\'\'tokenizer_config.json; filename="tokenizer_config.json";'), (b'Content-Security-Policy', b"default-src 'none'; sandbox"), (b'Vary', b'Origin'), (b'X-Cache', b'Hit from cloudfront'), (b'Via', b'1.1 79006a1b1266ae3c597864512702ebf8.cloudfront.net (CloudFront)'), (b'X-Amz-Cf-Pop', b'FRA50-P2'), (b'Alt-Svc', b'h3=":443"; ma=86400'), (b'X-Amz-Cf-Id', b'yy-nbbkbk2_3VdFEHNIBHGHfDOO21HL2UGf88Gq3kcroUMftU8dKgg=='), (b'Age', b'44260')])
